ID,Result,Timestamp
0,B,2025-07-09T14:00:36.081736
1,S,2025-07-09T14:00:40.460763
2,B,2025-07-09T14:00:41.804623
3,B,2025-07-09T14:00:43.726051
4,B,2025-07-09T14:00:45.385513
5,B,2025-07-09T14:00:48.375836
6,S,2025-07-09T14:00:49.459616
7,B,2025-07-09T14:00:50.751998
8,S,2025-07-09T14:00:52.608018
9,B,2025-07-09T14:00:54.053180
10,B,2025-07-09T14:00:55.613790
11,B,2025-07-09T14:00:57.233032
12,B,2025-07-09T14:00:58.806512
13,S,2025-07-09T14:01:00.503715
14,B,2025-07-09T14:01:02.445042
15,S,2025-07-09T14:01:04.172343
16,S,2025-07-09T14:01:06.316189
17,B,2025-07-09T14:01:07.958995
18,B,2025-07-09T14:01:09.777434
19,S,2025-07-09T14:01:11.756564
20,B,2025-07-09T14:01:13.305656
21,B,2025-07-09T14:01:17.065147
22,S,2025-07-09T14:01:19.510640
23,S,2025-07-09T14:01:20.868211
24,B,2025-07-09T14:01:22.806099
25,S,2025-07-09T14:01:24.687723
26,B,2025-07-09T14:01:26.486087
27,B,2025-07-09T14:01:28.057588
28,B,2025-07-09T14:01:29.448727
29,B,2025-07-09T14:01:31.128553
30,S,2025-07-09T14:01:32.756453
31,B,2025-07-09T14:01:34.140150
32,B,2025-07-09T14:01:35.819149
33,B,2025-07-09T14:01:37.809046
34,B,2025-07-09T14:01:39.574800
35,S,2025-07-09T14:01:41.325109
36,B,2025-07-09T14:01:43.693467
37,S,2025-07-09T14:01:44.811227
38,B,2025-07-09T14:01:46.095485
39,S,2025-07-09T14:01:48.069813
40,B,2025-07-09T14:01:49.472920
41,B,2025-07-09T14:01:51.419007
42,B,2025-07-09T14:01:53.044816
43,S,2025-07-09T14:01:54.534701
44,B,2025-07-09T14:01:55.941539
45,B,2025-07-09T14:01:57.561551
46,S,2025-07-09T14:01:59.508518
47,B,2025-07-09T14:02:01.580582
48,S,2025-07-09T14:02:03.697543
49,S,2025-07-09T14:02:06.294263
50,B,2025-07-09T14:02:07.252579
51,S,2025-07-09T14:02:08.531655
52,B,2025-07-09T14:02:09.951278
53,B,2025-07-09T14:02:11.670556
54,S,2025-07-09T14:02:13.438013
55,S,2025-07-09T14:02:15.141754
56,B,2025-07-09T14:02:16.884952
57,B,2025-07-09T14:02:18.489050
58,B,2025-07-09T14:02:20.044081
59,S,2025-07-09T14:02:21.798787
60,S,2025-07-09T14:02:23.564186
61,B,2025-07-09T14:02:25.392728
62,S,2025-07-09T14:02:27.190227
63,S,2025-07-09T14:02:28.712169
64,S,2025-07-09T14:02:30.838395
65,S,2025-07-09T14:02:33.632037
66,S,2025-07-09T14:02:35.519827
67,B,2025-07-09T14:02:37.554996
68,S,2025-07-09T14:02:39.446671
69,B,2025-07-09T14:02:40.987878
70,B,2025-07-09T14:02:42.578634
71,B,2025-07-09T14:02:44.525579
72,B,2025-07-09T14:02:46.164207
73,B,2025-07-09T14:02:47.710325
74,B,2025-07-09T14:02:49.191571
75,S,2025-07-09T14:02:51.006356
76,S,2025-07-09T14:02:52.861379
77,B,2025-07-09T14:02:54.448345
78,B,2025-07-09T14:02:55.907170
79,B,2025-07-09T14:02:57.862711
80,S,2025-07-09T14:02:59.411213
81,B,2025-07-09T14:03:01.013932
82,S,2025-07-09T14:03:02.735346
83,B,2025-07-09T14:03:04.427619
84,B,2025-07-09T14:03:06.010848
85,S,2025-07-09T14:03:08.819692
86,B,2025-07-09T14:03:10.268439
87,S,2025-07-09T14:03:12.010865
88,B,2025-07-09T14:03:13.529180
89,B,2025-07-09T14:03:15.678786
90,B,2025-07-09T14:03:17.094989
91,B,2025-07-09T14:03:18.491788
92,B,2025-07-09T14:03:20.137863
93,S,2025-07-09T14:03:22.089195
94,B,2025-07-09T14:03:23.385760
95,B,2025-07-09T14:03:25.072754
96,S,2025-07-09T14:03:27.006339
97,B,2025-07-09T14:03:31.090092
98,B,2025-07-09T14:03:33.595482
99,B,2025-07-09T14:03:34.899857
100,B,2025-07-09T14:03:36.402837
101,B,2025-07-09T14:03:38.075466
102,B,2025-07-09T14:03:39.630739
103,B,2025-07-09T14:03:41.141081
104,S,2025-07-09T14:03:43.219505
105,S,2025-07-09T14:03:45.520694
106,S,2025-07-09T14:03:49.078059
107,B,2025-07-09T14:03:52.610797
108,B,2025-07-09T14:03:56.084561
109,B,2025-07-09T14:03:57.650477
110,S,2025-07-09T14:03:59.558336
111,B,2025-07-09T14:04:01.259035
112,S,2025-07-09T14:04:03.219202
113,B,2025-07-09T14:04:05.059455
114,S,2025-07-09T14:04:08.749149
115,S,2025-07-09T14:04:09.673591
116,B,2025-07-09T14:04:12.297325
117,B,2025-07-09T14:04:13.539345
118,S,2025-07-09T14:04:15.702905
119,B,2025-07-09T14:04:17.134984
120,S,2025-07-09T14:04:18.902508
121,S,2025-07-09T14:04:20.662242
122,S,2025-07-09T14:04:22.646942
123,S,2025-07-09T14:04:24.190711
124,B,2025-07-09T14:04:26.177161
125,S,2025-07-09T14:04:28.278953
126,B,2025-07-09T14:04:29.990472
127,S,2025-07-09T14:04:31.834997
128,B,2025-07-09T14:04:33.385245
129,B,2025-07-09T14:04:35.011015
130,B,2025-07-09T14:04:36.597789
131,B,2025-07-09T14:04:38.404571
132,S,2025-07-09T14:04:40.376011
133,S,2025-07-09T14:04:41.971168
134,B,2025-07-09T14:04:43.632872
135,B,2025-07-09T14:04:45.422837
136,B,2025-07-09T14:04:47.096194
137,B,2025-07-09T14:04:48.868198
138,B,2025-07-09T14:04:50.136600
139,B,2025-07-09T14:04:51.880806
140,B,2025-07-09T14:04:53.456730
141,S,2025-07-09T14:04:55.132357
142,B,2025-07-09T14:04:56.922225
143,B,2025-07-09T14:04:58.448374
144,S,2025-07-09T14:05:00.218640
145,B,2025-07-09T14:05:01.605946
146,B,2025-07-09T14:05:03.119596
147,S,2025-07-09T14:05:04.626328
148,B,2025-07-09T14:05:05.963652
149,S,2025-07-09T14:05:07.679726
150,B,2025-07-09T14:05:08.841277
151,B,2025-07-09T14:05:10.489441
152,S,2025-07-09T14:05:12.239087
153,B,2025-07-09T14:05:13.593023
154,S,2025-07-09T14:05:15.175377
155,S,2025-07-09T14:05:16.738013
156,S,2025-07-09T14:05:18.395881
157,B,2025-07-09T14:05:20.039324
158,B,2025-07-09T14:05:21.640641
159,S,2025-07-09T14:05:23.536413
160,S,2025-07-09T14:05:25.283523
161,S,2025-07-09T14:05:26.694618
162,B,2025-07-09T14:05:28.472118
163,B,2025-07-09T14:05:30.158805
164,B,2025-07-09T14:05:31.614216
165,S,2025-07-09T14:05:33.225143
166,B,2025-07-09T14:05:34.612980
167,B,2025-07-09T14:05:36.297312
168,S,2025-07-09T14:05:38.315056
169,B,2025-07-09T14:05:39.701474
170,B,2025-07-09T14:05:41.188365
171,S,2025-07-09T14:05:42.962105
172,B,2025-07-09T14:05:44.390264
173,S,2025-07-09T14:05:46.570779
174,S,2025-07-09T14:05:48.321416
175,S,2025-07-09T14:05:49.896220
176,S,2025-07-09T14:05:52.217640
177,B,2025-07-09T14:05:53.615843
178,B,2025-07-09T14:05:55.503961
179,B,2025-07-09T14:05:57.072463
180,S,2025-07-09T14:05:58.696477
181,S,2025-07-09T14:06:00.195475
182,B,2025-07-09T14:06:01.666719
183,S,2025-07-09T14:06:03.475183
184,B,2025-07-09T14:06:04.859964
185,B,2025-07-09T14:06:06.431830
186,B,2025-07-09T14:06:08.356456
187,B,2025-07-09T14:06:10.022957
188,B,2025-07-09T14:06:11.691323
189,B,2025-07-09T14:06:13.315196
190,B,2025-07-09T14:06:14.979413
191,S,2025-07-09T14:06:20.936416
192,S,2025-07-09T14:06:38.993739
193,S,2025-07-09T14:06:50.224215
194,S,2025-07-09T14:07:01.791600
195,B,2025-07-09T14:07:08.875050
196,B,2025-07-09T14:07:28.176410
197,S,2025-07-09T14:07:36.707828
198,B,2025-07-09T14:07:47.740051
199,B,2025-07-09T14:07:54.226884
