ID,Result,Timestamp
0,B,2025-07-09T12:39:23.235904
1,B,2025-07-09T12:39:26.280207
2,B,2025-07-09T12:39:29.407762
3,B,2025-07-09T12:39:31.698294
4,B,2025-07-09T12:39:34.245054
5,B,2025-07-09T12:39:36.957817
6,B,2025-07-09T12:39:39.960740
7,B,2025-07-09T12:39:42.732332
8,B,2025-07-09T12:39:44.881292
9,B,2025-07-09T12:39:47.602946
10,B,2025-07-09T12:39:49.758906
11,B,2025-07-09T12:39:51.279590
12,B,2025-07-09T12:39:53.032063
13,B,2025-07-09T12:39:55.025275
14,B,2025-07-09T12:39:56.355529
15,B,2025-07-09T12:39:57.992192
16,B,2025-07-09T12:40:00.372910
17,B,2025-07-09T12:40:03.205362
18,B,2025-07-09T12:40:05.338428
19,B,2025-07-09T12:40:07.606999
20,B,2025-07-09T12:40:10.218578
21,B,2025-07-09T12:40:12.483133
22,B,2025-07-09T12:40:14.353086
23,B,2025-07-09T12:40:15.897547
24,B,2025-07-09T12:40:17.850708
25,B,2025-07-09T12:40:19.472493
26,B,2025-07-09T12:40:21.146197
27,B,2025-07-09T12:40:22.879256
28,B,2025-07-09T12:40:24.984460
29,B,2025-07-09T12:40:26.631042
30,B,2025-07-09T12:40:28.077175
31,B,2025-07-09T12:40:29.861484
32,B,2025-07-09T12:40:32.005672
33,S,2025-07-09T12:40:46.117732
34,B,2025-07-09T12:40:48.029528
35,B,2025-07-09T12:40:49.898239
36,B,2025-07-09T12:40:51.632804
37,B,2025-07-09T12:40:53.349769
38,B,2025-07-09T12:40:55.660000
39,B,2025-07-09T12:40:57.581371
40,B,2025-07-09T12:40:59.253087
41,B,2025-07-09T12:41:01.793760
42,B,2025-07-09T12:41:03.282179
43,B,2025-07-09T12:41:05.390457
44,B,2025-07-09T12:41:07.208747
45,B,2025-07-09T12:41:09.269554
46,B,2025-07-09T12:41:11.225423
47,B,2025-07-09T12:41:13.056670
48,B,2025-07-09T12:41:15.033286
49,B,2025-07-09T12:41:17.936876
50,B,2025-07-09T12:41:19.926676
51,B,2025-07-09T12:41:24.565379
52,B,2025-07-09T12:41:26.392266
53,B,2025-07-09T12:41:29.112368
54,B,2025-07-09T12:41:39.087527
55,B,2025-07-09T12:41:42.245307
56,B,2025-07-09T12:41:44.748161
57,B,2025-07-09T12:41:46.506749
58,B,2025-07-09T12:41:48.910633
59,B,2025-07-09T12:41:50.502304
60,B,2025-07-09T12:41:52.470432
61,B,2025-07-09T12:41:54.290465
62,B,2025-07-09T12:41:56.218020
63,B,2025-07-09T12:41:58.065478
64,B,2025-07-09T12:41:59.870558
65,B,2025-07-09T12:42:01.817055
66,S,2025-07-09T12:42:06.994527
67,B,2025-07-09T12:42:08.961912
68,B,2025-07-09T12:42:11.065312
69,B,2025-07-09T12:42:12.899171
70,B,2025-07-09T12:42:15.263275
71,B,2025-07-09T12:42:17.780346
72,B,2025-07-09T12:42:19.938221
73,B,2025-07-09T12:42:22.450251
74,B,2025-07-09T12:42:31.355063
75,B,2025-07-09T12:42:33.799578
76,B,2025-07-09T12:42:40.147708
77,B,2025-07-09T12:42:41.558093
78,B,2025-07-09T12:42:43.242817
79,B,2025-07-09T12:42:46.059859
80,B,2025-07-09T12:42:47.907387
81,B,2025-07-09T12:42:49.425333
82,B,2025-07-09T12:42:50.974877
83,B,2025-07-09T12:42:52.436738
84,B,2025-07-09T12:42:53.887583
85,B,2025-07-09T12:42:55.666153
86,B,2025-07-09T12:42:57.471013
87,B,2025-07-09T12:42:59.065348
88,B,2025-07-09T12:43:00.864872
89,B,2025-07-09T12:43:02.615915
90,B,2025-07-09T12:43:03.925850
91,B,2025-07-09T12:43:05.143593
92,B,2025-07-09T12:43:06.605641
93,B,2025-07-09T12:43:08.263707
94,B,2025-07-09T12:43:10.258447
95,B,2025-07-09T12:43:12.009501
96,B,2025-07-09T12:43:13.586004
97,B,2025-07-09T12:43:15.212692
98,B,2025-07-09T12:43:16.920703
99,B,2025-07-09T12:43:18.694225
100,B,2025-07-09T12:43:20.482679
101,B,2025-07-09T12:43:21.924786
102,B,2025-07-09T12:43:23.447161
103,B,2025-07-09T12:43:25.008064
104,B,2025-07-09T12:43:26.446638
105,B,2025-07-09T12:43:28.424146
106,B,2025-07-09T12:43:30.004758
107,B,2025-07-09T12:43:31.662516
108,B,2025-07-09T12:43:33.269062
109,B,2025-07-09T12:43:34.818990
110,B,2025-07-09T12:43:36.481542
111,B,2025-07-09T12:43:38.445698
112,B,2025-07-09T12:43:39.819010
113,B,2025-07-09T12:43:41.061816
114,B,2025-07-09T12:43:42.879838
115,B,2025-07-09T12:43:44.642519
116,B,2025-07-09T12:43:46.276353
117,B,2025-07-09T12:43:47.762525
118,B,2025-07-09T12:43:49.862892
119,B,2025-07-09T12:43:52.130338
120,B,2025-07-09T12:43:53.874579
121,S,2025-07-09T12:43:56.034024
122,B,2025-07-09T12:43:57.620458
123,B,2025-07-09T12:43:59.425420
124,B,2025-07-09T12:44:00.790476
125,B,2025-07-09T12:44:02.301175
126,B,2025-07-09T12:44:03.956820
127,B,2025-07-09T12:44:06.068032
128,B,2025-07-09T12:44:07.882676
129,B,2025-07-09T12:44:09.647604
130,B,2025-07-09T12:44:11.161717
131,B,2025-07-09T12:44:12.887200
132,B,2025-07-09T12:44:14.475448
133,B,2025-07-09T12:44:15.998825
134,B,2025-07-09T12:44:17.726868
135,B,2025-07-09T12:44:19.313995
136,B,2025-07-09T12:44:20.831792
137,B,2025-07-09T12:44:22.531295
138,B,2025-07-09T12:44:23.942268
139,B,2025-07-09T12:44:25.681438
140,B,2025-07-09T12:44:27.685665
141,B,2025-07-09T12:44:29.285205
142,B,2025-07-09T12:44:30.938512
143,B,2025-07-09T12:44:33.064210
144,B,2025-07-09T12:44:34.896178
145,B,2025-07-09T12:44:36.416869
146,B,2025-07-09T12:44:37.997178
147,B,2025-07-09T12:44:39.758611
148,B,2025-07-09T12:44:41.611568
149,B,2025-07-09T12:44:44.711744
150,B,2025-07-09T12:44:46.368916
151,B,2025-07-09T12:44:48.658658
152,B,2025-07-09T12:44:50.734140
153,B,2025-07-09T12:44:52.189219
154,B,2025-07-09T12:44:53.550263
155,B,2025-07-09T12:44:56.763270
156,B,2025-07-09T12:44:58.483436
157,B,2025-07-09T12:45:00.384559
158,B,2025-07-09T12:45:02.249252
159,B,2025-07-09T12:45:04.139813
160,B,2025-07-09T12:45:05.802642
161,B,2025-07-09T12:45:07.346092
162,B,2025-07-09T12:45:09.000465
163,B,2025-07-09T12:45:10.390996
164,S,2025-07-09T12:45:13.076260
165,B,2025-07-09T12:45:14.867568
166,B,2025-07-09T12:45:16.600915
167,B,2025-07-09T12:45:17.913684
168,B,2025-07-09T12:45:19.572373
169,B,2025-07-09T12:45:21.747077
170,B,2025-07-09T12:45:23.194124
171,B,2025-07-09T12:45:25.468238
172,B,2025-07-09T12:45:27.056227
173,B,2025-07-09T12:45:28.596881
174,B,2025-07-09T12:45:30.453718
175,B,2025-07-09T12:45:32.264435
176,B,2025-07-09T12:45:33.883120
177,B,2025-07-09T12:45:35.473440
178,B,2025-07-09T12:45:37.205558
179,B,2025-07-09T12:45:39.416154
180,B,2025-07-09T12:45:41.170364
181,B,2025-07-09T12:45:42.952073
182,B,2025-07-09T12:45:44.800414
183,B,2025-07-09T12:45:46.777299
184,S,2025-07-09T12:45:50.716419
185,B,2025-07-09T12:45:52.137206
186,B,2025-07-09T12:45:53.919075
187,B,2025-07-09T12:45:55.636872
188,B,2025-07-09T12:45:57.209406
189,B,2025-07-09T12:45:59.326484
190,B,2025-07-09T12:46:01.287798
191,B,2025-07-09T12:46:03.679864
192,B,2025-07-09T12:46:06.186564
193,B,2025-07-09T12:46:07.802855
194,B,2025-07-09T12:46:11.474869
195,B,2025-07-09T12:46:16.052429
196,B,2025-07-09T12:46:17.325011
197,B,2025-07-09T12:46:18.860562
198,S,2025-07-09T12:46:22.753036
199,B,2025-07-09T12:46:24.747422
200,B,2025-07-09T12:46:35.978685
201,B,2025-07-09T12:46:37.664380
202,B,2025-07-09T12:46:39.860522
203,B,2025-07-09T12:46:41.770965
204,B,2025-07-09T12:46:43.532736
205,B,2025-07-09T12:46:44.977269
206,B,2025-07-09T12:46:46.964506
207,B,2025-07-09T12:46:49.675709
208,B,2025-07-09T12:46:51.384800
209,B,2025-07-09T12:46:53.181629
210,B,2025-07-09T12:46:54.840516
211,B,2025-07-09T12:46:56.871442
212,B,2025-07-09T12:46:59.096958
213,B,2025-07-09T12:47:00.791579
214,B,2025-07-09T12:47:02.269070
215,B,2025-07-09T12:47:04.579938
216,B,2025-07-09T12:47:06.221884
217,B,2025-07-09T12:47:08.059053
218,B,2025-07-09T12:47:10.710136
219,B,2025-07-09T12:47:13.310704
220,B,2025-07-09T12:47:14.748003
221,B,2025-07-09T12:47:16.817217
222,B,2025-07-09T12:47:18.390768
223,B,2025-07-09T12:47:20.752591
224,B,2025-07-09T12:47:22.549498
225,B,2025-07-09T12:47:24.121870
226,B,2025-07-09T12:47:25.738242
227,B,2025-07-09T12:47:27.366695
228,B,2025-07-09T12:47:28.942192
229,B,2025-07-09T12:47:30.691469
230,B,2025-07-09T12:47:32.251983
231,B,2025-07-09T12:47:33.784588
232,B,2025-07-09T12:47:35.517044
233,B,2025-07-09T12:47:37.347091
234,B,2025-07-09T12:47:38.935078
235,B,2025-07-09T12:47:40.404714
236,B,2025-07-09T12:47:41.964055
237,B,2025-07-09T12:47:44.022627
238,B,2025-07-09T12:47:46.497811
239,S,2025-07-09T12:47:49.195937
240,B,2025-07-09T12:47:51.160984
241,B,2025-07-09T12:47:53.176968
242,B,2025-07-09T12:47:54.578073
243,B,2025-07-09T12:47:56.189214
244,B,2025-07-09T12:47:57.678114
245,B,2025-07-09T12:47:59.383033
246,B,2025-07-09T12:48:01.217867
247,B,2025-07-09T12:48:03.209572
248,B,2025-07-09T12:48:04.234874
249,B,2025-07-09T12:48:05.606400
250,B,2025-07-09T12:48:07.087130
251,B,2025-07-09T12:48:08.439401
252,B,2025-07-09T12:48:10.286821
253,B,2025-07-09T12:48:12.173090
254,B,2025-07-09T12:48:13.702870
255,B,2025-07-09T12:48:15.367978
256,B,2025-07-09T12:48:17.245887
257,B,2025-07-09T12:48:19.011945
258,B,2025-07-09T12:48:20.553640
259,B,2025-07-09T12:48:22.129709
260,B,2025-07-09T12:48:23.872819
261,B,2025-07-09T12:48:25.605099
262,B,2025-07-09T12:48:27.185616
263,B,2025-07-09T12:48:29.400861
264,B,2025-07-09T12:48:30.828572
265,B,2025-07-09T12:48:32.599742
266,B,2025-07-09T12:48:33.881276
267,B,2025-07-09T12:48:35.455926
268,B,2025-07-09T12:48:37.000192
269,S,2025-07-09T12:48:40.011369
270,B,2025-07-09T12:48:41.602987
271,B,2025-07-09T12:48:43.457166
272,B,2025-07-09T12:48:45.078630
273,B,2025-07-09T12:48:46.709361
274,B,2025-07-09T12:48:48.512083
275,B,2025-07-09T12:48:50.508007
276,B,2025-07-09T12:48:52.380748
277,B,2025-07-09T12:48:54.266117
278,B,2025-07-09T12:48:55.614415
279,B,2025-07-09T12:48:57.103546
280,B,2025-07-09T12:48:59.179748
281,B,2025-07-09T12:49:00.911254
282,B,2025-07-09T12:49:03.630445
283,B,2025-07-09T12:49:05.272124
284,B,2025-07-09T12:49:06.844543
285,B,2025-07-09T12:49:08.178902
286,B,2025-07-09T12:49:09.719372
287,S,2025-07-09T12:49:12.143993
288,B,2025-07-09T12:49:13.809231
289,B,2025-07-09T12:49:15.183930
290,B,2025-07-09T12:49:16.722843
291,B,2025-07-09T12:49:18.274685
292,B,2025-07-09T12:49:20.247446
293,B,2025-07-09T12:49:21.785707
294,B,2025-07-09T12:49:23.258104
295,B,2025-07-09T12:49:25.046606
296,B,2025-07-09T12:49:26.541245
297,B,2025-07-09T12:49:28.543830
298,B,2025-07-09T12:49:31.531127
299,B,2025-07-09T12:49:33.331549
300,B,2025-07-09T12:49:35.327452
301,B,2025-07-09T12:49:37.210573
302,B,2025-07-09T12:49:38.858770
303,B,2025-07-09T12:49:39.656831
304,B,2025-07-09T12:49:41.049739
305,B,2025-07-09T12:49:42.700900
306,B,2025-07-09T12:49:44.309323
307,B,2025-07-09T12:49:46.694324
308,B,2025-07-09T12:49:48.425793
309,B,2025-07-09T12:49:50.062087
310,B,2025-07-09T12:49:51.387876
311,B,2025-07-09T12:49:52.693795
312,B,2025-07-09T12:49:54.490858
313,B,2025-07-09T12:49:56.322666
314,B,2025-07-09T12:49:58.050735
315,B,2025-07-09T12:50:00.177131
316,B,2025-07-09T12:50:01.728999
317,B,2025-07-09T12:50:03.183871
318,B,2025-07-09T12:50:04.594077
319,B,2025-07-09T12:50:07.545400
320,B,2025-07-09T12:50:09.289219
321,B,2025-07-09T12:50:10.979451
322,B,2025-07-09T12:50:12.524166
323,B,2025-07-09T12:50:13.998321
324,B,2025-07-09T12:50:16.098956
325,B,2025-07-09T12:50:17.609925
326,B,2025-07-09T12:50:18.955582
327,B,2025-07-09T12:50:20.440106
328,B,2025-07-09T12:50:22.042614
329,B,2025-07-09T12:50:23.439577
330,B,2025-07-09T12:50:24.999619
331,B,2025-07-09T12:50:26.821083
332,B,2025-07-09T12:50:28.693324
333,B,2025-07-09T12:50:30.435589
334,B,2025-07-09T12:50:32.964945
335,B,2025-07-09T12:50:34.585852
336,B,2025-07-09T12:50:36.270923
337,B,2025-07-09T12:50:38.738217
338,B,2025-07-09T12:50:40.159900
339,B,2025-07-09T12:50:41.622647
340,B,2025-07-09T12:50:43.315372
341,B,2025-07-09T12:50:45.158503
342,B,2025-07-09T12:50:46.693254
343,B,2025-07-09T12:50:48.403325
344,B,2025-07-09T12:50:50.157436
345,B,2025-07-09T12:50:51.925873
346,B,2025-07-09T12:51:55.090834
347,B,2025-07-09T12:51:56.695546
348,B,2025-07-09T12:51:58.138385
349,B,2025-07-09T12:52:00.055026
350,B,2025-07-09T12:52:01.482307
351,B,2025-07-09T12:52:03.187979
352,B,2025-07-09T12:52:04.796756
353,B,2025-07-09T12:52:06.245786
354,B,2025-07-09T12:52:07.744170
355,B,2025-07-09T12:52:10.442856
356,B,2025-07-09T12:52:12.027310
357,B,2025-07-09T12:52:14.027950
358,B,2025-07-09T12:52:15.763437
359,B,2025-07-09T12:52:17.931165
360,B,2025-07-09T12:52:19.795128
361,B,2025-07-09T12:52:21.315293
362,B,2025-07-09T12:52:22.886738
363,B,2025-07-09T12:52:24.572084
364,B,2025-07-09T12:52:26.021264
365,B,2025-07-09T12:52:27.590411
366,B,2025-07-09T12:52:29.269082
367,B,2025-07-09T12:52:31.110947
368,B,2025-07-09T12:52:32.620924
369,B,2025-07-09T12:52:34.297426
370,B,2025-07-09T12:52:35.968705
371,B,2025-07-09T12:52:37.412746
372,B,2025-07-09T12:52:38.816950
373,B,2025-07-09T12:52:40.515662
374,B,2025-07-09T12:52:42.249037
375,B,2025-07-09T12:52:43.777407
376,B,2025-07-09T12:52:46.258730
377,B,2025-07-09T12:52:48.098731
378,B,2025-07-09T12:52:49.777967
379,B,2025-07-09T12:52:51.443377
380,B,2025-07-09T12:52:53.118980
381,B,2025-07-09T12:52:54.917023
382,B,2025-07-09T12:52:56.940493
383,B,2025-07-09T12:52:58.281319
384,B,2025-07-09T12:53:00.170424
385,B,2025-07-09T12:53:01.731731
386,B,2025-07-09T12:53:03.459129
387,B,2025-07-09T12:53:05.098829
388,B,2025-07-09T12:53:06.377342
389,B,2025-07-09T12:53:07.707617
390,B,2025-07-09T12:53:09.296967
391,B,2025-07-09T12:53:11.000242
392,B,2025-07-09T12:53:13.183511
393,B,2025-07-09T12:53:15.771681
394,B,2025-07-09T12:53:17.886246
395,B,2025-07-09T12:53:19.810447
396,B,2025-07-09T12:53:21.233564
397,B,2025-07-09T12:53:22.521719
398,B,2025-07-09T12:53:23.737120
399,B,2025-07-09T12:53:27.445579
