ID,Result,Timestamp
0,S,2025-07-09T14:21:30.243862
1,B,2025-07-09T14:21:32.453899
2,S,2025-07-09T14:21:34.218191
3,S,2025-07-09T14:21:35.725765
4,S,2025-07-09T14:21:37.636265
5,B,2025-07-09T14:21:39.016521
6,S,2025-07-09T14:21:41.193772
7,B,2025-07-09T14:21:42.605645
8,B,2025-07-09T14:21:43.965786
9,S,2025-07-09T14:21:45.962987
10,S,2025-07-09T14:21:47.959234
11,S,2025-07-09T14:21:49.660858
12,B,2025-07-09T14:21:51.093507
13,B,2025-07-09T14:21:52.658677
14,B,2025-07-09T14:21:54.107378
15,S,2025-07-09T14:21:55.828115
16,S,2025-07-09T14:21:57.329083
17,S,2025-07-09T14:21:59.046310
18,S,2025-07-09T14:22:00.795369
19,S,2025-07-09T14:22:02.450798
20,B,2025-07-09T14:22:03.992240
21,S,2025-07-09T14:22:05.557160
22,B,2025-07-09T14:22:07.641043
23,S,2025-07-09T14:22:09.172689
24,B,2025-07-09T14:22:10.526114
25,S,2025-07-09T14:22:12.350921
26,B,2025-07-09T14:22:13.643513
27,B,2025-07-09T14:22:15.440609
28,S,2025-07-09T14:22:17.248656
29,B,2025-07-09T14:22:18.549969
30,S,2025-07-09T14:22:20.195540
31,B,2025-07-09T14:22:21.871614
32,S,2025-07-09T14:22:23.587934
33,S,2025-07-09T14:22:25.738663
34,S,2025-07-09T14:22:27.339369
35,B,2025-07-09T14:22:28.988105
36,S,2025-07-09T14:22:30.777863
37,S,2025-07-09T14:22:32.430979
38,B,2025-07-09T14:22:33.612553
39,B,2025-07-09T14:22:35.314665
40,B,2025-07-09T14:22:36.834735
41,S,2025-07-09T14:22:38.807995
42,S,2025-07-09T14:22:40.348720
43,B,2025-07-09T14:22:41.739534
44,B,2025-07-09T14:22:43.299129
45,B,2025-07-09T14:22:44.817996
46,S,2025-07-09T14:22:46.846438
47,B,2025-07-09T14:22:48.374672
48,S,2025-07-09T14:22:50.006481
49,S,2025-07-09T14:22:51.950071
50,B,2025-07-09T14:22:53.382638
51,S,2025-07-09T14:22:54.751522
52,S,2025-07-09T14:22:56.864013
53,S,2025-07-09T14:22:58.495815
54,B,2025-07-09T14:23:00.032060
55,B,2025-07-09T14:23:01.778975
56,S,2025-07-09T14:23:03.510482
57,S,2025-07-09T14:23:05.252407
58,B,2025-07-09T14:23:08.459449
59,S,2025-07-09T14:23:20.827727
60,S,2025-07-09T14:23:22.367166
61,S,2025-07-09T14:23:24.285686
62,B,2025-07-09T14:23:25.982100
63,S,2025-07-09T14:23:27.729869
64,S,2025-07-09T14:23:29.138891
65,S,2025-07-09T14:23:30.347275
66,S,2025-07-09T14:23:31.906379
67,B,2025-07-09T14:23:33.491725
68,B,2025-07-09T14:23:34.754456
69,S,2025-07-09T14:23:36.681843
70,B,2025-07-09T14:23:39.512652
71,S,2025-07-09T14:23:41.471202
72,S,2025-07-09T14:23:42.790567
73,B,2025-07-09T14:23:43.564366
74,S,2025-07-09T14:23:45.377651
75,S,2025-07-09T14:23:47.022918
76,S,2025-07-09T14:23:48.563322
77,B,2025-07-09T14:23:50.107666
78,S,2025-07-09T14:23:52.675323
79,B,2025-07-09T14:23:54.004513
80,S,2025-07-09T14:23:55.906288
81,S,2025-07-09T14:23:57.923155
82,S,2025-07-09T14:23:59.635986
83,B,2025-07-09T14:24:01.167402
84,S,2025-07-09T14:24:02.812903
85,B,2025-07-09T14:24:04.328312
86,S,2025-07-09T14:24:06.079817
87,S,2025-07-09T14:24:07.734602
88,B,2025-07-09T14:24:09.248267
89,B,2025-07-09T14:24:10.931195
90,S,2025-07-09T14:24:12.767701
91,S,2025-07-09T14:24:14.477311
92,S,2025-07-09T14:24:16.068983
93,S,2025-07-09T14:24:17.627502
94,B,2025-07-09T14:24:19.101944
95,S,2025-07-09T14:24:20.963531
96,B,2025-07-09T14:24:22.172012
97,S,2025-07-09T14:24:24.242361
98,S,2025-07-09T14:24:25.831467
99,S,2025-07-09T14:24:27.300007
100,S,2025-07-09T14:24:29.183911
101,S,2025-07-09T14:24:30.907357
102,B,2025-07-09T14:24:32.247521
103,B,2025-07-09T14:24:33.926940
104,B,2025-07-09T14:24:35.332626
105,B,2025-07-09T14:24:36.957083
106,S,2025-07-09T14:24:38.971345
107,S,2025-07-09T14:24:40.928453
108,S,2025-07-09T14:24:42.881469
109,B,2025-07-09T14:24:44.537480
110,B,2025-07-09T14:24:45.980514
111,B,2025-07-09T14:24:47.789310
112,S,2025-07-09T14:24:49.981816
113,B,2025-07-09T14:24:51.285226
114,B,2025-07-09T14:24:53.023181
115,S,2025-07-09T14:24:55.117233
116,B,2025-07-09T14:24:56.552979
117,B,2025-07-09T14:24:58.185657
118,S,2025-07-09T14:25:00.197771
119,S,2025-07-09T14:25:01.630669
120,S,2025-07-09T14:25:02.993720
121,B,2025-07-09T14:25:04.524871
122,B,2025-07-09T14:25:05.864804
123,S,2025-07-09T14:25:07.691999
124,S,2025-07-09T14:25:09.238837
125,S,2025-07-09T14:25:10.540587
126,S,2025-07-09T14:25:12.129486
127,B,2025-07-09T14:25:13.483789
128,S,2025-07-09T14:25:15.227471
129,S,2025-07-09T14:25:16.962575
130,B,2025-07-09T14:25:18.662429
131,B,2025-07-09T14:25:20.004793
132,S,2025-07-09T14:25:21.930663
133,S,2025-07-09T14:25:23.714055
134,B,2025-07-09T14:25:25.316762
135,B,2025-07-09T14:25:26.676755
136,B,2025-07-09T14:25:28.062647
137,S,2025-07-09T14:25:30.020323
138,B,2025-07-09T14:25:31.330683
