ID,Result,Timestamp
0,B,2025-07-09T13:40:27.269451
1,B,2025-07-09T13:40:28.990835
2,B,2025-07-09T13:40:30.698628
3,S,2025-07-09T13:40:32.760493
4,S,2025-07-09T13:40:34.281806
5,B,2025-07-09T13:40:35.660553
6,B,2025-07-09T13:40:37.364909
7,B,2025-07-09T13:40:39.164220
8,B,2025-07-09T13:40:41.422114
9,B,2025-07-09T13:40:43.348765
10,B,2025-07-09T13:40:44.965304
11,B,2025-07-09T13:40:46.421094
12,B,2025-07-09T13:40:48.184340
13,B,2025-07-09T13:40:49.749874
14,B,2025-07-09T13:40:51.428407
15,B,2025-07-09T13:40:53.299445
16,B,2025-07-09T13:40:55.027410
17,B,2025-07-09T13:40:56.748117
18,B,2025-07-09T13:40:58.365554
19,B,2025-07-09T13:40:59.945135
20,B,2025-07-09T13:41:01.749367
21,B,2025-07-09T13:41:03.316800
22,B,2025-07-09T13:41:04.979564
23,B,2025-07-09T13:41:06.516320
24,B,2025-07-09T13:41:08.264156
25,B,2025-07-09T13:41:10.195017
26,S,2025-07-09T13:41:12.240093
27,B,2025-07-09T13:41:13.676526
28,B,2025-07-09T13:41:15.536658
29,B,2025-07-09T13:41:16.901494
30,B,2025-07-09T13:41:18.369072
31,B,2025-07-09T13:41:19.948105
32,B,2025-07-09T13:41:21.537715
33,B,2025-07-09T13:41:23.182327
34,B,2025-07-09T13:41:24.954367
35,B,2025-07-09T13:41:26.706404
36,B,2025-07-09T13:41:28.531591
37,B,2025-07-09T13:41:29.842417
38,B,2025-07-09T13:41:31.323931
39,B,2025-07-09T13:41:33.029671
40,B,2025-07-09T13:41:34.540770
41,B,2025-07-09T13:41:36.151133
42,B,2025-07-09T13:41:37.772057
43,B,2025-07-09T13:41:39.472542
44,B,2025-07-09T13:41:40.924140
45,B,2025-07-09T13:41:42.205413
46,B,2025-07-09T13:41:43.619731
47,B,2025-07-09T13:41:45.029245
48,B,2025-07-09T13:41:46.726008
49,B,2025-07-09T13:41:48.325440
50,S,2025-07-09T13:41:50.794281
