ID,Result,Timestamp
159,S,2025-07-09T14:17:05.452619
160,S,2025-07-09T14:17:07.106301
161,B,2025-07-09T14:17:08.823130
162,B,2025-07-09T14:17:10.617985
163,S,2025-07-09T14:17:12.819448
164,S,2025-07-09T14:17:14.931163
165,S,2025-07-09T14:17:16.388461
166,S,2025-07-09T14:17:18.116236
167,B,2025-07-09T14:17:20.281767
168,S,2025-07-09T14:17:22.023371
169,B,2025-07-09T14:17:23.796263
170,B,2025-07-09T14:17:25.406748
171,B,2025-07-09T14:17:27.133941
172,B,2025-07-09T14:17:28.674512
173,B,2025-07-09T14:17:30.545429
174,S,2025-07-09T14:17:32.512029
175,S,2025-07-09T14:17:34.426627
176,S,2025-07-09T14:17:36.140115
177,S,2025-07-09T14:17:37.904114
178,B,2025-07-09T14:17:40.044491
179,S,2025-07-09T14:17:42.216822
180,S,2025-07-09T14:17:43.912302
181,S,2025-07-09T14:17:45.440147
182,S,2025-07-09T14:17:47.334185
183,B,2025-07-09T14:17:49.347596
184,B,2025-07-09T14:17:51.553252
185,B,2025-07-09T14:17:53.515090
186,S,2025-07-09T14:17:55.403627
187,B,2025-07-09T14:17:57.639673
188,B,2025-07-09T14:17:59.146235
189,S,2025-07-09T14:18:01.085370
190,B,2025-07-09T14:18:03.049790
191,B,2025-07-09T14:18:04.560726
192,B,2025-07-09T14:18:05.873243
193,S,2025-07-09T14:18:07.704329
194,B,2025-07-09T14:18:09.312751
195,S,2025-07-09T14:18:10.980184
196,B,2025-07-09T14:18:12.954444
197,B,2025-07-09T14:18:14.702838
198,B,2025-07-09T14:18:16.567111
199,B,2025-07-09T14:18:19.742881
